userid,country,iso2,iso3,city,state
0,No Location,,,,Nan
1,No Location,,,,Nan
2,No Location,,,,Nan
3,United States of America,NY,NYC,Brooklyn,
4,No Location,,,,Nan
5,No Location,,,,Nan
6,United Kingdom,UK,GBR,London,
7,No Location,,,,Nan
8,United States of America,US,USA,Los Angeles,Angeles
9,United States of America,US,USA,Los Angeles,Angeles
10,United States of America,US,USA,,Rhode Island
11,No Location,,,,Nan
12,Morocco,MA,MAR,Boston,
13,No Location,,,,Nan
14,Laos,LA,LAO,,
15,No Location,,,,Nan
16,United Kingdom,UK,GBR,London,
17,United States of America,US,USA,York,York
18,Canada,CA,CAN,Victoria,Victoria
19,India,IN,IND,Seattle,
20,New Caledonia,NC,NCL,Charlotte,
21,No Location,,,,Nan
22,No Location,,,,Nan
23,United States of America,US,USA,Oregon,Oregon
24,No Location,,,,Nan
25,United States of America,US,USA,Washington,Washington
26,United Kingdom,UK,GBR,Manchester,Manchester
27,United States of America,US,USA,York,York
28,United States of America,US,USA,Houston,
29,No Location,,,,Nan
30,No Location,,,,Nan
31,Vatican City,VA,VAT,Richmond,
32,United States of America,NY,NYC,,
33,Ireland,IE,IRL,Dublin,Dublin
34,No Location,,,,Nan
35,No Location,,,,Nan
36,No Location,,,,Nan
37,Japan,JP,JPN,Usa,
38,United States of America,NY,NYC,Buffalo,
39,Japan,JP,JPN,Usa,Angeles
40,United Kingdom,UK,GBR,,
41,United States of America,US,USA,Portland,Portland
42,Japan,JP,JPN,Usa,York
43,United Kingdom,UK,GBR,Kent,Kent
44,Cuba,CU,CUB,Australia,
45,No Location,,,,Nan
46,No Location,,,,Nan
47,Moldova,MD,MDA,Hyattsville,
48,Israel,IL,ISR,Newton,
49,No Location,,,,Nan
50,Mongolia,MN,MNG,,Paul
51,No Location,,,,Nan
52,No Location,,,,Nan
53,United Arab Emirates,AE,ARE,Dubai,
54,No Location,,,,Nan
55,United States of America,US,USA,Houston,
56,No Location,,,,Nan
57,United States of America,NY,NYC,Brooklyn,
58,No Location,,,,Nan
59,No Location,,,,Nan
60,No Location,,,,Nan
61,No Location,,,,Nan
62,Egypt,EG,EGY,Cairo,
63,No Location,,,,Nan
64,No Location,,,,Nan
65,United States of America,US,USA,Usa,California
